Processor,Benchmark,"HardwareVendor     ",System,#Cores,#Chips,#CoresPerChip,#ThreadsPerCore,Processor,ProcessorMHz,ProcessorCharacteristics,CPU(s)Orderable,AutoParallelization,BasePointerSize,PeakPointerSize,1stLevelCache,2ndLevelCache,3rdLevelCache,OtherCache,Memory,OperatingSystem,FileSystem,Compiler,HWAvail,SWAvail,BaseCopies,Result,Baseline,400Peak,400Base,401Peak,401Base,403Peak,403Base,429Peak,429Base,445Peak,445Base,456Peak,456Base,458Peak,458Base,462Peak,462Base,464Peak,464Base,471Peak,471Base,473Peak,473Base,483Peak,483Base,License,TestedBy,TestSponsor,TestDate,Published,Updated,Price
AMDOpteron4130,CINT2006rate,DellInc.,PowerEdgeR415(AMDOpteron41302.60GHz),8,2,4,1,AMDOpteron4130,2600,,12chips,No,32/64-bit,32/64-bit,64KBI+64KBDonchippercore,512KBI+Donchippercore,6MBI+Donchipperchip,None,32GB(8x4GB2Rx4PC3-10600R-9ECC),SUSELinuxEnterpriseServer11(x86_64)Kernel2.6.27.19-5-default,ext3,x86Open644.2.4CompilerSuite(fromAMD),07/01/10,07/01/10,8,158,136,164,133,102,95.5,121,106,194,101,143,127,243,193,125,123,481,481,195,175,88.7,88.7,106,85.5,161,152,55,DellInc.,DellInc.,07/01/10,10/01/10,03/01/12,125
AMDOpteron4130,CINT2006rate,DellInc.,PowerEdgeR515(AMDOpteron41302.60GHz),8,2,4,1,AMDOpteron4130,2600,,12chips,No,32/64-bit,32/64-bit,64KBI+64KBDonchippercore,512KBI+Donchippercore,6MBI+Donchipperchip,None,32GB(8x4GB2Rx4PC3-10600R-9ECC),SUSELinuxEnterpriseServer11(x86_64)Kernel2.6.27.19-5-default,ext3,x86Open644.2.4CompilerSuite(fromAMD),07/01/10,07/01/10,8,158,136,162,132,102,95.1,120,106,196,101,143,127,244,196,125,123,481,481,195,175,88.2,88.2,106,85.1,161,152,55,DellInc.,DellInc.,07/01/10,10/01/10,03/01/12,125
AMDOpteron4130,CINT2006rate,Tyan,TyanYR190B8228AMDOpteron4130,4,1,4,1,AMDOpteron4130,2600,,12chips,No,32/64-bit,32/64-bit,64KBI+64KBDonchippercore,512KBI+Donchippercore,6MBI+Donchipperchip,None,16GB(2x8GB2Rx4PC3-10600R-9ECC),SUSELinuxEnterpriseServer11(x86_64)Kernel2.6.27.19-5-default,ext3,x86Open644.2.4CompilerSuite(fromAMD),08/01/10,07/01/10,4,80.8,69.8,82.6,66.7,52.8,49.7,63.3,57.6,105,53.5,71.9,64.2,125,99.8,61.9,60.8,238,238,98,88.6,46,46,53.3,43.1,84.4,80.2,49,AdvancedMicroDevices,AdvancedMicroDevices,12/01/10,02/01/11,03/01/12,125
AMDOpteron4130,CINT2006rate,Tyan,TyanYR190B8228AMDOpteron4130,8,2,4,1,AMDOpteron4130,2600,,12chips,No,32/64-bit,32/64-bit,64KBI+64KBDonchippercore,512KBI+Donchippercore,6MBI+Donchipperchip,None,32GB(4x8GBDDR3-1333CL9RegDualRank),SUSELinuxEnterpriseServer11(x86_64)Kernel2.6.27.19-5-default,ext3,x86Open644.2.4CompilerSuite(fromAMD),08/01/10,07/01/10,8,158,136,164,132,101,94.9,120,106,197,102,143,127,242,195,124,122,476,481,195,175,88.4,88.4,106,84.9,160,152,49,AdvancedMicroDevices,AdvancedMicroDevices,08/01/10,08/01/10,03/01/12,125
AMDOpteron4226,CINT2006rate,DellInc.,PowerEdgeR515(AMDOpteron42262.70GHz),12,2,6,1,AMDOpteron4226,2700,AMDTurboCOREtechnologyupto3.10GHz,12chips,No,32/64-bit,32/64-bit,192KBIonchipperchip64KBIshared/2cores;16KBDonchippercore,6MBI+Donchipperchip2MBshared/2cores,8MBI+Donchipperchip,None,32GB(4x8GB2Rx4PC3-12800R-11ECC),RedHatEnterpriseLinuxServerrelease6.1Kernel2.6.32-131.0.15.el6.x86_64,ext3,C/C++:Version4.2.5.2ofx86Open64CompilerSuite(fromAMD),01/01/12,07/01/11,12,208,185,161,134,122,116,159,144,269,180,156,139,328,292,137,124,1300,1179,201,172,147,147,138,130,210,203,55,DellInc.,DellInc.,12/01/11,01/01/12,03/01/12,125
AMDOpteron4226,CINT2006rate,Supermicro,SupermicroA+Server2022TC-HTRF4(H8DCT-HLN4FAMDOpteron4226),12,2,6,1,AMDOpteron4226,2700,AMDTurboCOREtechnologyupto3.10GHz,12chips,No,32/64-bit,32/64-bit,192KBIonchipperchip64KBIshared/2cores;16KBDonchippercore,6MBI+Donchipperchip2MBshared/2cores,8MBI+Donchipperchip,None,32GB(4x8GB2Rx4PC3-12800R-11ECC),RedHatEnterpriseLinuxServerrelease6.2Kernel2.6.32-220.el6.x86_64,ext3,C/C++:Version4.2.5.2ofx86Open64CompilerSuite(fromAMD),11/01/11,12/01/11,12,203,182,155,131,121,116,155,142,265,178,153,138,315,282,135,124,1276,1162,196,168,144,144,136,127,204,198,1176,Supermicro,Supermicro,02/01/12,04/01/12,05/01/12,125
AMDOpteron4226,CINT2006rate,Supermicro,SupermicroH8DCL-iFmotherboard(AMDOpteron42262.70GHz),12,2,6,1,AMDOpteron4226,2700,AMDTurboCOREtechnologyupto3.10GHz,12chips,No,32/64-bit,32/64-bit,192KBIonchipperchip64KBIshared/2cores;16KBDonchippercore,6MBI+Donchipperchip2MBshared/2cores,8MBI+Donchipperchip,None,32GB(4x8GB2Rx4PC3-12800R-11ECC),RedHatEnterpriseLinuxServerrelease6.2Kernel2.6.32-220.el6.x86_64,ext3,C/C++:Version4.5.1ofx86Open64CompilerSuite(fromAMD),11/01/11,12/01/11,12,216,190,161,136,128,123,167,149,313,177,157,141,320,290,142,131,1479,1505,201,170,145,145,152,128,207,202,1176,Supermicro,Supermicro,06/01/12,07/01/12,07/01/12,125
AMDOpteron4226,CINT2006rate,Tyan,TyanYR190-B8228AMDOpteron4226,12,2,6,1,AMDOpteron4226,2700,AMDTurboCOREtechnologyupto3.10GHz,12chips,No,32/64-bit,32/64-bit,192KBIonchipperchip64KBIshared/2cores;16KBDonchippercore,6MBI+Donchipperchip2MBshared/2cores,8MBI+Donchipperchip,None,32GB(4x8GB2Rx4PC3-12800R-11ECC),RedHatEnterpriseLinuxServerrelease6.1Kernel2.6.32-131.0.15.el6.x86_64,ext3,C/C++:Version4.2.5.2ofx86Open64CompilerSuite(fromAMD),11/01/11,07/01/11,12,207,185,161,133,123,117,159,144,268,180,154,138,326,290,136,124,1292,1182,201,172,146,146,139,130,209,202,49,AdvancedMicroDevices,AdvancedMicroDevices,12/01/11,01/01/12,03/01/12,125
AMDOpteron3320EE,CINT2006rate,MSI,MSIMS0231AMDOpteron3320EE,4,1,4,1,AMDOpteron3320EE,1900,AMDTurboCOREtechnologyupto2.50GHz,1chip,No,32/64-bit,32/64-bit,128KBIonchipperchip64KBIshared/2cores;16KBDonchippercore,4MBI+Donchipperchip2MBshared/2cores,8MBI+Donchipperchip,None,32GB(4x8GB2Rx4PC3-10600U-9ECC),RedHatEnterpriseLinuxServerrelease6.3Kernel2.6.32-279.el6.x86_64,ext3,C/C++:Version4.5.2ofx86Open64CompilerSuite(fromAMD),12/01/12,08/01/12,4,57.4,50.9,41.3,34.6,32.7,30.6,44.3,40.5,88.2,55.8,38.2,34.8,83,74.5,34.4,33.1,396,396,52,42.8,45.5,45.5,42.1,35.2,56,55,49,AdvancedMicroDevices,AdvancedMicroDevices,10/01/12,12/01/12,12/01/12,174
AMDOpteron3320EE,CINT2006rate,Supermicro,SupermicroA+Server1012A-MTF(H8SML-iFAMDOpteron3320EE),4,1,4,1,AMDOpteron3320EE,1900,AMDTurboCOREtechnologyupto2.50GHz,1chip,No,32/64-bit,32/64-bit,128KBIonchipperchip64KBIshared/2cores;16KBDonchippercore,4MBI+Donchipperchip2MBshared/2cores,8MBI+Donchipperchip,None,32GB(4x8GB2Rx8PC3-12800E-11ECCrunningat1333MHzandCL9),RedHatEnterpriseLinuxServerrelease6.3Kernel2.6.32-279.el6.x86_64,ext4,C/C++:Version4.5.2ofx86Open64CompilerSuite(fromAMD),12/01/12,08/01/12,4,56.8,50.6,41.1,34.3,32.8,30.6,43.7,40.2,87.6,55.7,37.8,34.3,81.8,73.9,34,32.7,386,394,51.2,42.3,45.2,45.1,41.9,35,55.4,54.3,1176,Supermicro,Supermicro,01/01/13,02/01/13,02/01/13,174
AMDOpteron3320EE,CINT2006rate,Supermicro,SupermicroA+ServerAS-3012MA-H12TRF(H8SME-FOpteron3320EE)AMDOpteron3320EE,4,1,4,1,AMDOpteron3320EE,1900,AMDTurboCOREtechnologyupto2.50GHz,1chip,No,32/64-bit,32/64-bit,128KBIonchipperchip64KBIshared/2cores;16KBDonchippercore,4MBI+Donchipperchip2MBshared/2cores,8MBI+Donchipperchip,None,32GB(4x8GB2Rx4PC3-10600U-9ECC),RedHatEnterpriseLinuxServerrelease6.2Kernel2.6.32-220.el6.x86_64,ext3,C/C++:Version4.5.2ofx86Open64CompilerSuite(fromAMD),11/01/11,08/01/12,4,57.3,51,40.8,34.5,33,30.5,44.3,40.3,88.4,56.1,38.3,34.9,82.6,74.4,34.6,33.3,390,396,51.7,42.6,45.5,45.6,42.2,35.3,56.2,55.2,1176,Supermicro,Supermicro,02/01/13,05/01/13,05/01/13,174
