Processor,Benchmark,"HardwareVendor     ",System,#Cores,#Chips,#CoresPerChip,#ThreadsPerCore,Processor,ProcessorMHz,ProcessorCharacteristics,CPU(s)Orderable,AutoParallelization,BasePointerSize,PeakPointerSize,1stLevelCache,2ndLevelCache,3rdLevelCache,OtherCache,Memory,OperatingSystem,FileSystem,Compiler,HWAvail,SWAvail,BaseCopies,Result,Baseline,400Peak,400Base,401Peak,401Base,403Peak,403Base,429Peak,429Base,445Peak,445Base,456Peak,456Base,458Peak,458Base,462Peak,462Base,464Peak,464Base,471Peak,471Base,473Peak,473Base,483Peak,483Base,License,TestedBy,TestSponsor,TestDate,Published,Updated,Price
AMDOpteron4256EE,CINT2006rate,DellInc.,PowerEdgeR515(AMDOpteron4256EE1.60GHz),16,2,8,1,AMDOpteron4256EE,1600,AMDTurboCOREtechnologyupto2.80GHz,12chips,No,32/64-bit,32/64-bit,256KBIonchipperchip64KBIshared/2cores;16KBDonchippercore,8MBI+Donchipperchip2MBshared/2cores,8MBI+Donchipperchip,None,32GB(4x8GB2Rx4PC3-12800R-11ECC),RedHatEnterpriseLinuxServerrelease6.1Kernel2.6.32-131.0.15.el6.x86_64,ext4,C/C++:Version4.2.5.2ofx86Open64CompilerSuite(fromAMD),12/01/11,07/01/11,16,173,155,129,107,99.9,96,135,124,243,166,125,113,260,231,111,101,1125,1063,160,136,135,135,114,109,173,168,55,DellInc.,DellInc.,11/01/11,12/01/11,04/01/12,377
AMDOpteron4256EE,CINT2006rate,Supermicro,SupermicroA+Server2022TC-HTRF4(H8DCT-HLN4FAMDOpteron4256EE),16,2,8,1,AMDOpteron4256EE,1600,AMDTurboCOREtechnologyupto2.80GHz,12chips,No,32/64-bit,32/64-bit,256KBIonchipperchip64KBIshared/2cores;16KBDonchippercore,8MBI+Donchipperchip2MBshared/2cores,8MBI+Donchipperchip,None,32GB(4x8GB2Rx4PC3-12800R-11ECC),RedHatEnterpriseLinuxServerrelease6.2Kernel2.6.32-220.el6.x86_64,ext3,C/C++:Version4.2.5.2ofx86Open64CompilerSuite(fromAMD),11/01/11,12/01/11,16,168,151,124,104,97.2,93.1,129,119,234,158,122,110,257,229,108,98.6,1104,1041,155,132,129,129,111,106,168,163,1176,Supermicro,Supermicro,01/01/12,04/01/12,05/01/12,377
AMDOpteron4256EE,CINT2006rate,Tyan,TyanYR190-B8228AMDOpteron4256EE,16,2,8,1,AMDOpteron4256EE,1600,AMDTurboCOREtechnologyupto2.80GHz,12chips,No,32/64-bit,32/64-bit,256KBIonchipperchip64KBIshared/2cores;16KBDonchippercore,8MBI+Donchipperchip2MBshared/2cores,8MBI+Donchipperchip,None,32GB(4x8GB2Rx4PC3-12800R-11ECC),RedHatEnterpriseLinuxServerrelease6.1Kernel2.6.32-131.0.15.el6.x86_64,ext3,C/C++:Version4.2.5.2ofx86Open64CompilerSuite(fromAMD),11/01/11,07/01/11,16,173,155,130,107,100,95.6,134,124,243,166,124,112,259,230,110,101,1133,1067,159,136,135,135,115,109,173,167,49,AdvancedMicroDevices,AdvancedMicroDevices,11/01/11,01/01/12,03/01/12,377
AMDOpteron4274HE,CINT2006rate,DellInc.,PowerEdgeR415(AMDOpteron4274HE2.50GHz),16,2,8,1,AMDOpteron4274HE,2500,AMDTurboCOREtechnologyupto3.50GHz,12chips,No,32/64-bit,32/64-bit,256KBIonchipperchip64KBIshared/2cores;16KBDonchippercore,8MBI+Donchipperchip2MBshared/2cores,8MBI+Donchipperchip,None,32GB(4x8GB2Rx4PC3-12800R-11ECC),RedHatEnterpriseLinuxServerrelease6.1Kernel2.6.32-131.0.15.el6.x86_64,ext4,C/C++:Version4.2.5.2ofx86Open64CompilerSuite(fromAMD),12/01/11,07/01/11,16,246,218,194,160,146,139,186,167,317,201,186,169,396,357,165,149,1434,1332,242,207,170,170,165,152,244,236,55,DellInc.,DellInc.,11/01/11,12/01/11,04/01/12,377
AMDOpteron4274HE,CINT2006rate,DellInc.,PowerEdgeR515(AMDOpteron4274HE2.50GHz),16,2,8,1,AMDOpteron4274HE,2500,AMDTurboCOREtechnologyupto3.50GHz,12chips,No,32/64-bit,32/64-bit,256KBIonchipperchip64KBIshared/2cores;16KBDonchippercore,8MBI+Donchipperchip2MBshared/2cores,8MBI+Donchipperchip,None,32GB(4x8GB2Rx4PC3-12800R-11ECC),RedHatEnterpriseLinuxServerrelease6.1Kernel2.6.32-131.0.15.el6.x86_64,ext4,C/C++:Version4.2.5.2ofx86Open64CompilerSuite(fromAMD),12/01/11,07/01/11,16,246,218,193,160,147,140,186,167,318,201,188,167,397,357,165,149,1441,1329,241,207,170,170,165,152,243,236,55,DellInc.,DellInc.,11/01/11,12/01/11,04/01/12,377
AMDOpteron4274HE,CINT2006rate,Supermicro,SupermicroA+Server2022TC-HTRF4(H8DCT-HLN4FAMDOpteron4274HE),16,2,8,1,AMDOpteron4274HE,2500,AMDTurboCOREtechnologyupto3.50GHz,12chips,No,32/64-bit,32/64-bit,256KBIonchipperchip64KBIshared/2cores;16KBDonchippercore,8MBI+Donchipperchip2MBshared/2cores,8MBI+Donchipperchip,None,32GB(4x8GB2Rx4PC3-12800R-11ECC),RedHatEnterpriseLinuxServerrelease6.2Kernel2.6.32-220.el6.x86_64,ext3,C/C++:Version4.2.5.2ofx86Open64CompilerSuite(fromAMD),11/01/11,12/01/11,16,243,216,190,160,146,140,183,165,314,198,188,169,384,354,165,151,1418,1319,241,205,167,167,164,151,241,235,1176,Supermicro,Supermicro,01/01/12,04/01/12,05/01/12,377
AMDOpteron4274HE,CINT2006rate,Tyan,TyanYR190-B8228AMDOpteron4274HE,16,2,8,1,AMDOpteron4274HE,2500,AMDTurboCOREtechnologyupto3.50GHz,12chips,No,32/64-bit,32/64-bit,256KBIonchipperchip64KBIshared/2cores;16KBDonchippercore,8MBI+Donchipperchip2MBshared/2cores,8MBI+Donchipperchip,None,32GB(4x8GB2Rx4PC3-12800R-11ECC),RedHatEnterpriseLinuxServerrelease6.1Kernel2.6.32-131.0.15.el6.x86_64,ext3,C/C++:Version4.2.5.2ofx86Open64CompilerSuite(fromAMD),11/01/11,07/01/11,16,246,218,195,161,147,140,187,168,318,202,186,166,395,354,164,149,1448,1336,242,207,170,170,167,152,245,236,49,AdvancedMicroDevices,AdvancedMicroDevices,11/01/11,01/01/12,03/01/12,377
AMDOpteron6234,CINT2006rate,DellInc.,PowerEdgeR715(AMDOpteron62342.40GHz),24,2,12,1,AMDOpteron6234,2400,AMDTurboCOREtechnologyupto3.00GHz,2chips,No,32/64-bit,32/64-bit,384KBIonchipperchip64KBIshared/2cores;16KBDonchippercore,12MBI+Donchipperchip2MBshared/2cores,16MBI+Donchipperchip8MBshared/6cores,None,128GB(16x8GB2Rx4PC3-12800R-11ECC),RedHatEnterpriseLinuxServerrelease6.1Kernel2.6.32-131.0.15.el6.x86_64,ext4,C/C++:Version4.2.5.2ofx86Open64CompilerSuite(fromAMD),11/01/11,07/01/11,24,388,343,294,243,230,220,304,271,588,377,273,244,588,526,245,221,2412,2308,354,306,279,279,276,236,374,362,55,DellInc.,DellInc.,11/01/11,12/01/11,03/01/12,377
AMDOpteron6234,CINT2006rate,Hewlett-PackardCompany,ProLiantBL465cG7(2.4GHzAMDOpteron6234),24,2,12,1,AMDOpteron6234,2400,AMDTurboCOREtechnologyupto3.00GHz,12chips,No,32/64-bit,32/64-bit,384KBIonchipperchip64KBIshared/2cores;16KBDonchippercore,12MBI+Donchipperchip2MBshared/2cores,16MBI+Donchipperchip8MBshared/6cores,None,128GB(16x8GB2Rx4PC3-10600R-9ECC),RedHatEnterpriseLinuxServerrelease6.1Kernel2.6.32-131.0.15.el6.x86_64,ext3,C/C++:Version4.2.5.2ofx86Open64CompilerSuite(fromAMD),11/01/11,07/01/11,24,385,337,294,242,229,220,300,265,578,343,273,244,585,525,245,221,2321,2207,356,307,273,273,274,232,374,361,3,Hewlett-PackardCompany,Hewlett-PackardCompany,10/01/11,11/01/11,03/01/12,377
AMDOpteron6234,CINT2006rate,Hewlett-PackardCompany,ProLiantDL385G7(2.4GHzAMDOpteron6234),24,2,12,1,AMDOpteron6234,2400,AMDTurboCOREtechnologyupto3.00GHz,12chips,No,32/64-bit,32/64-bit,384KBIonchipperchip64KBIshared/2cores;16KBDonchippercore,12MBI+Donchipperchip2MBshared/2cores,16MBI+Donchipperchip8MBshared/6cores,None,128GB(16x8GB2Rx4PC3-10600R-9ECC),RedHatEnterpriseLinuxServerrelease6.1Kernel2.6.32-131.0.15.el6.x86_64,ext3,C/C++:Version4.2.5.2ofx86Open64CompilerSuite(fromAMD),11/01/11,07/01/11,24,382,335,282,235,229,220,299,265,575,338,274,245,581,524,245,224,2297,2188,355,307,270,270,273,231,372,360,3,Hewlett-PackardCompany,Hewlett-PackardCompany,10/01/11,11/01/11,03/01/12,377
AMDOpteron6234,CINT2006rate,IBMCorporation,IBMSystemx3755M3AMDOpteron6234,48,4,12,1,AMDOpteron6234,2400,AMDTurboCOREtechnologyupto3.00GHz,24chips,No,32/64-bit,32/64-bit,384KBIonchipperchip64KBIshared/2cores;16KBDonchippercore,12MBI+Donchipperchip2MBshared/2cores,16MBI+Donchipperchip8MBshared/6cores,None,256GB(32x8GB2Rx4PC3-10600R-9ECC),RedHatEnterpriseLinuxServerrelease6.1Kernel2.6.32-131.0.15.el6.x86_64,ext3,C/C++:Version4.2.5.2ofx86Open64CompilerSuite(fromAMD),12/01/11,07/01/11,48,765,670,586,483,455,435,593,530,1138,671,543,487,1167,1056,488,439,4624,4479,710,606,541,541,546,464,743,715,11,IBMCorporation,IBMCorporation,03/01/12,04/01/12,04/01/12,377
AMDOpteron6234,CINT2006rate,IBMCorporation,IBMSystemx3755M3AMDOpteron6234,24,2,12,1,AMDOpteron6234,2400,AMDTurboCOREtechnologyupto3.00GHz,12chips,No,32/64-bit,32/64-bit,384KBIonchipperchip64KBIshared/2cores;16KBDonchippercore,12MBI+Donchipperchip2MBshared/2cores,16MBI+Donchipperchip8MBshared/6cores,None,128GB(16x8GB2Rx4PC3-10600R-9ECC),RedHatEnterpriseLinuxServerrelease6.1Kernel2.6.32-131.0.15.el6.x86_64,ext3,C/C++:Version4.2.5.2ofx86Open64CompilerSuite(fromAMD),12/01/11,07/01/11,24,383,337,294,243,229,218,298,268,575,340,272,243,584,529,244,220,2312,2243,355,306,271,271,274,232,372,358,11,IBMCorporation,IBMCorporation,03/01/12,04/01/12,04/01/12,377
AMDOpteron6234,CINT2006rate,Supermicro,SupermicroA+Server1012G-MTF(H8SGL-FAMDOpteron6234),12,1,12,1,AMDOpteron6234,2400,AMDTurboCOREtechnologyupto3.00GHz,1chip,No,32/64-bit,32/64-bit,384KBIonchipperchip64KBIshared/2cores;16KBDonchippercore,12MBI+Donchipperchip2MBshared/2cores,16MBI+Donchipperchip8MBshared/6cores,None,64GB(8x8GB2Rx4PC3-12800R-11ECC),RedHatEnterpriseLinuxServerrelease6.2Kernel2.6.32-220.el6.x86_64,ext3,C/C++:Version4.5.1ofx86Open64CompilerSuite(fromAMD),11/01/11,12/01/11,12,199,175,148,122,117,111,154,138,297,179,141,127,290,260,129,118,1354,1373,180,152,141,141,140,119,191,186,1176,Supermicro,Supermicro,04/01/12,05/01/12,05/01/12,377
AMDOpteron6234,CINT2006rate,Supermicro,SupermicroA+Server1022G-NTFAMDOpteron6234,24,2,12,1,AMDOpteron6234,2400,AMDTurboCOREtechnologyupto3.00GHz,12chips,No,32/64-bit,32/64-bit,384KBIonchipperchip64KBIshared/2cores;16KBDonchippercore,12MBI+Donchipperchip2MBshared/2cores,16MBI+Donchipperchip8MBshared/6cores,None,128GB(16x8GB2Rx4PC3-10600R-09ECC),RedHatEnterpriseLinuxServerrelease6.1Kernel2.6.32-131.0.15.el6.x86_64,ext3,C/C++:Version4.2.5.2ofx86Open64CompilerSuite(fromAMD),11/01/11,07/01/11,24,384,337,294,242,230,219,299,266,574,344,274,246,584,521,244,220,2331,2255,355,306,273,273,274,232,372,358,49,AdvancedMicroDevices,AdvancedMicroDevices,12/01/11,01/01/12,03/01/12,377
AMDOpteron6234,CINT2006rate,Supermicro,SupermicroA+Server2022TG-HTRF(H8DGT-HFAMDOpteron6234),24,2,12,1,AMDOpteron6234,2400,AMDTurboCOREtechnologyupto3.00GHz,12chips,No,32/64-bit,32/64-bit,384KBIonchipperchip64KBIshared/2cores;16KBDonchippercore,12MBI+Donchipperchip2MBshared/2cores,16MBI+Donchipperchip8MBshared/6cores,None,128GB(16x8GB2Rx4PC3-12800R-11ECC),RedHatEnterpriseLinuxServerrelease6.2Kernel2.6.32-220.el6.x86_64,ext3,C/C++:Version4.2.5.2ofx86Open64CompilerSuite(fromAMD),11/01/11,12/01/11,24,387,345,294,244,232,221,300,278,562,356,279,253,580,523,250,229,2409,2374,356,304,280,280,275,237,370,366,1176,Supermicro,Supermicro,01/01/12,04/01/12,05/01/12,377
AMDOpteron6234,CINT2006rate,Supermicro,SupermicroA+Server2042G-6RFAMDOpteron6234,48,4,12,1,AMDOpteron6234,2400,AMDTurboCOREtechnologyupto3.00GHz,24chips,No,32/64-bit,32/64-bit,384KBIonchipperchip64KBIshared/2cores;16KBDonchippercore,12MBI+Donchipperchip2MBshared/2cores,16MBI+Donchipperchip8MBshared/6cores,None,256GB(32x8GB2Rx4PC3-10600R-9ECC),RedHatEnterpriseLinuxServerrelease6.1Kernel2.6.32-131.0.15.el6.x86_64,ext3,C/C++:Version4.2.5.2ofx86Open64CompilerSuite(fromAMD),11/01/11,07/01/11,48,763,669,576,476,455,435,591,527,1135,675,539,485,1167,1041,487,441,4635,4468,711,613,544,544,547,463,742,713,49,AdvancedMicroDevices,AdvancedMicroDevices,11/01/11,01/01/12,03/01/12,377
AMDOpteron6338P,CINT2006rate,Supermicro,SupermicroA+Server1022G-NTFAMDOpteron6338P,24,2,12,1,AMDOpteron6338P,2300,AMDTurboCOREtechnologyupto2.80GHz,12chips,No,32/64-bit,32/64-bit,384KBIonchipperchip64KBIshared/2cores;16KBDonchippercore,12MBI+Donchipperchip2MBshared/2cores,16MBI+Donchipperchip8MBshared/6cores,None,128GB(16x8GB2Rx4PC3-12800R-11ECC),RedHatEnterpriseLinuxServerrelease6.3Kernel2.6.32-279.el6.x86_64,ext3,C/C++:Version4.5.2ofx86Open64CompilerSuite(fromAMD),01/01/14,10/01/12,24,404,357,295,248,227,215,306,279,609,363,275,250,601,539,249,241,2821,2821,374,305,304,304,296,243,390,384,49,AdvancedMicroDevices,AdvancedMicroDevices,08/01/13,01/01/14,01/01/14,377
AMDOpteron6338P,CINT2006rate,Supermicro,SupermicroA+Server1022GG-TF(H8DGG-QFOpteron6338P)AMDOpteron6338P,24,2,12,1,AMDOpteron6338P,2300,AMDTurboCOREtechnologyupto2.80GHz,12chips,No,32/64-bit,32/64-bit,384KBIonchipperchip64KBIshared/2cores;16KBDonchippercore,12MBI+Donchipperchip2MBshared/2cores,16MBI+Donchipperchip8MBshared/6cores,None,128GB(16x8GB2Rx4PC3-12800R-11ECC),RedHatEnterpriseLinuxServerrelease6.4Kernel2.6.32-358.el6.x86_64,ext4,C/C++:Version4.5.2ofx86Open64CompilerSuite(fromAMD),01/01/14,08/01/12,24,405,357,295,250,230,213,309,277,620,364,275,250,598,527,250,241,2770,2803,377,305,303,305,297,248,392,387,1176,Supermicro,Supermicro,10/01/13,02/01/14,02/01/14,377
AMDOpteron6338P,CINT2006rate,Supermicro,SupermicroA+Server1042G-LTF(H8QGL-6FOpteron6338P)AMDOpteron6338P,48,4,12,1,AMDOpteron6338P,2300,AMDTurboCOREtechnologyupto2.80GHz,24chips,No,32/64-bit,32/64-bit,384KBIonchipperchip64KBIshared/2cores;16KBDonchippercore,12MBI+Donchipperchip2MBshared/2cores,16MBI+Donchipperchip8MBshared/6cores,None,256GB(32x8GB2Rx4PC3-12800R-11ECC),RedHatEnterpriseLinuxServerrelease6.4Kernel2.6.32-358.el6.x86_64,ext4,C/C++:Version4.5.2ofx86Open64CompilerSuite(fromAMD),01/01/14,08/01/12,48,782,701,573,482,427,403,584,531,1162,765,547,499,1184,1042,500,481,5511,5546,745,609,573,577,548,485,761,759,1176,Supermicro,Supermicro,10/01/13,02/01/14,02/01/14,377
AMDOpteron6338P,CINT2006rate,Supermicro,SupermicroA+Server2024G-6RFAMDOpteron6338P,48,4,12,1,AMDOpteron6338P,2300,AMDTurboCOREtechnologyupto2.80GHz,24chips,No,32/64-bit,32/64-bit,384KBIonchipperchip64KBIshared/2cores;16KBDonchippercore,12MBI+Donchipperchip2MBshared/2cores,16MBI+Donchipperchip8MBshared/6cores,None,256GB(32x8GB2Rx4PC3-12800R-11ECC),RedHatEnterpriseLinuxServerrelease6.3Kernel2.6.32-279.el6.x86_64,ext3,C/C++:Version4.5.2ofx86Open64CompilerSuite(fromAMD),01/01/14,09/01/12,48,807,708,589,495,457,425,608,546,1207,717,550,501,1196,1056,498,480,5619,5619,750,599,607,607,592,484,783,770,49,AdvancedMicroDevices,AdvancedMicroDevices,09/01/13,01/01/14,01/01/14,377
AMDOpteron6338P,CINT2006rate,Supermicro,SupermicroA+Server4022G-6F(H8DG6-FOpteron6338P)AMDOpteron6338P),24,2,12,1,AMDOpteron6338P,2300,AMDTurboCOREtechnologyupto2.80GHz,12chips,No,32/64-bit,32/64-bit,384KBIonchipperchip64KBIshared/2cores;16KBDonchippercore,12MBI+Donchipperchip2MBshared/2cores,16MBI+Donchipperchip8MBshared/6cores,None,128GB(16x8GB2Rx4PC3-12800R-11ECC),RedHatEnterpriseLinuxServerrelease6.4Kernel2.6.32-358.el6.x86_64,ext3,C/C++:Version4.5.2ofx86Open64CompilerSuite(fromAMD),01/01/14,08/01/12,24,405,356,296,250,226,214,307,274,622,364,276,251,602,527,251,242,2773,2814,374,298,303,304,297,248,393,387,1176,Supermicro,Supermicro,10/01/13,02/01/14,02/01/14,377
AMDOpteron6338P,CINT2006rate,Supermicro,SupermicroA+ServerAS-2042G-72RF4(H8QG7-LN4FOpteron6338P)AMDOpteron6338P,48,4,12,1,AMDOpteron6338P,2300,AMDTurboCOREtechnologyupto2.80GHz,24chips,No,32/64-bit,32/64-bit,384KBIonchipperchip64KBIshared/2cores;16KBDonchippercore,12MBI+Donchipperchip2MBshared/2cores,16MBI+Donchipperchip8MBshared/6cores,None,256GB(32x8GB2Rx4PC3-12800R-11ECC),RedHatEnterpriseLinuxServerrelease6.4Kernel2.6.32-358.el6.x86_64,ext4,C/C++:Version4.5.2ofx86Open64CompilerSuite(fromAMD),01/01/14,08/01/12,48,777,698,557,473,420,393,582,531,1189,806,535,487,1182,1045,482,466,5318,5380,745,602,596,597,544,486,766,759,1176,Supermicro,Supermicro,10/01/13,02/01/14,02/01/14,377
AMDOpteron6338P,CINT2006rate,Supermicro,SupermicroA+ServerAS-4042G-6RF(H8QG6-FOpteron6338P)AMDOpteron6338P,48,4,12,1,AMDOpteron6338P,2300,AMDTurboCOREtechnologyupto2.80GHz,24chips,No,32/64-bit,32/64-bit,384KBIonchipperchip64KBIshared/2cores;16KBDonchippercore,12MBI+Donchipperchip2MBshared/2cores,16MBI+Donchipperchip8MBshared/6cores,None,256GB(32x8GB2Rx4PC3-12800R-11ECC),RedHatEnterpriseLinuxServerrelease6.4Kernel2.6.32-358.el6.x86_64,ext4,C/C++:Version4.5.2ofx86Open64CompilerSuite(fromAMD),01/01/14,08/01/12,48,809,711,591,496,451,424,612,549,1230,721,551,501,1202,1053,502,482,5536,5600,755,608,608,606,591,495,785,773,1176,Supermicro,Supermicro,10/01/13,02/01/14,02/01/14,377
AMDOpteron6338P,CINT2006rate,Supermicro,SupermicroProcessorBladeSBA-7142G-T4(BHQGEOpteron6338P)AMDOpteron6338P,48,4,12,1,AMDOpteron6338P,2300,AMDTurboCOREtechnologyupto2.80GHz,24chips,No,32/64-bit,32/64-bit,384KBIonchipperchip64KBIshared/2cores;16KBDonchippercore,12MBI+Donchipperchip2MBshared/2cores,16MBI+Donchipperchip8MBshared/6cores,None,256GB(32x8GB2Rx4PC3-12800R-11ECC),RedHatEnterpriseLinuxServerrelease6.4Kernel2.6.32-358.el6.x86_64,ext4,C/C++:Version4.5.2ofx86Open64CompilerSuite(fromAMD),01/01/14,08/01/12,48,780,681,573,480,443,409,589,522,1162,659,535,485,1192,1047,481,466,5304,5344,746,583,563,563,564,473,760,749,1176,Supermicro,Supermicro,10/01/13,02/01/14,02/01/14,377
AMDOpteron6338P,CINT2006rate,Supermicro,SupermicroProcessorBladeSBA-7222G-T2(BHDGTOpteron6338P)AMDOpteron6338P,24,2,12,1,AMDOpteron6338P,2300,AMDTurboCOREtechnologyupto2.80GHz,12chips,No,32/64-bit,32/64-bit,384KBIonchipperchip64KBIshared/2cores;16KBDonchippercore,12MBI+Donchipperchip2MBshared/2cores,16MBI+Donchipperchip8MBshared/6cores,None,128GB(16x8GB2Rx4PC3-12800R-11ECC),RedHatEnterpriseLinuxServerrelease6.4Kernel2.6.32-358.el6.x86_64,ext4,C/C++:Version4.5.2ofx86Open64CompilerSuite(fromAMD),01/01/14,08/01/12,24,400,351,295,249,226,213,302,271,599,338,275,250,596,524,251,241,2748,2775,377,307,288,289,292,244,388,382,1176,Supermicro,Supermicro,10/01/13,02/01/14,02/01/14,377
IntelXeonE5-2420,CINT2006rate,ACTIONS.A.,ACTINASOLAR205S5(IntelXeonE5-2420),12,2,6,2,IntelXeonE5-2420,1900,IntelTurboBoostTechnologyupto2.40GHz,12chips,No,32-bit,32/64-bit,32KBI+32KBDonchippercore,256KBI+Donchippercore,15MBI+Donchipperchip,None,96GB(6x16GB2Rx4PC3-12800R-11ECCrunningat1333MHzandCL9),SUSELinuxEnterpriseServer11SP2(x86_64)3.0.13-0.27-default,ext3,C/C++:Version12.1.0.225ofIntelC++StudioXEforLinux,05/01/12,02/01/12,24,365,350,306,259,201,194,282,282,567,567,271,263,523,438,274,259,2085,2085,442,448,231,216,209,209,330,330,9008,ACTIONS.A.,ACTIONS.A.,10/01/12,12/01/12,12/01/12,387
IntelXeonE5-2420,CINT2006rate,ACTIONS.A.,ACTINASOLAR215S5(IntelXeonE5-2420),12,2,6,2,IntelXeonE5-2420,1900,IntelTurboBoostTechnologyupto2.40GHz,12chips,No,32-bit,32/64-bit,32KBI+32KBDonchippercore,256KBI+Donchippercore,15MBI+Donchipperchip,None,96GB(6x16GB2Rx4PC3-12800R-11ECCrunningat1333MHzandCL9),SUSELinuxEnterpriseServer11SP2(x86_64)3.0.13-0.27-default,ext3,C/C++:Version12.1.0.225ofIntelC++StudioXEforLinux,05/01/12,02/01/12,24,362,348,305,259,199,193,281,281,557,557,270,266,523,437,269,262,2081,2081,442,441,225,210,208,208,329,329,9008,ACTIONS.A.,ACTIONS.A.,10/01/12,12/01/12,12/01/12,387
IntelXeonE5-2420,CINT2006rate,ACTIONS.A.,ACTINASOLAR215X5(IntelXeonE5-2420),12,2,6,2,IntelXeonE5-2420,1900,IntelTurboBoostTechnologyupto2.40GHz,12chips,No,32-bit,32/64-bit,32KBI+32KBDonchippercore,256KBI+Donchippercore,15MBI+Donchipperchip,None,96GB(6x16GB2Rx4PC3-12800R-11ECCrunningat1333MHzandCL9),SUSELinuxEnterpriseServer11SP2(x86_64)3.0.13-0.27-default,ext3,C/C++:Version12.1.0.225ofIntelC++StudioXEforLinux,05/01/12,02/01/12,24,363,348,305,259,199,192,280,282,559,559,268,265,523,438,276,258,2081,2081,444,444,225,210,209,209,329,329,9008,ACTIONS.A.,ACTIONS.A.,11/01/12,12/01/12,12/01/12,387
IntelXeonE5-2420,CINT2006rate,ACTIONS.A.,ACTINASOLAR225S5(IntelXeonE5-2420),12,2,6,2,IntelXeonE5-2420,1900,IntelTurboBoostTechnologyupto2.40GHz,12chips,No,32-bit,32/64-bit,32KBI+32KBDonchippercore,256KBI+Donchippercore,15MBI+Donchipperchip,None,96GB(6x16GB2Rx4PC3-12800R-11ECCrunningat1333MHzandCL9),SUSELinuxEnterpriseServer11SP2(x86_64)3.0.13-0.27-default,ext3,C/C++:Version12.1.0.225ofIntelC++StudioXEforLinux,05/01/12,02/01/12,24,364,348,306,259,201,194,282,282,564,564,271,259,522,435,270,259,2084,2084,443,439,231,217,209,209,328,328,9008,ACTIONS.A.,ACTIONS.A.,10/01/12,12/01/12,12/01/12,387
IntelXeonE5-2420,CINT2006rate,BullSAS,NovaScaleR430F3(IntelXeonE5-24201.90GHz),12,2,6,2,IntelXeonE5-2420,1900,IntelTurboBoostTechnologyupto2.40GHz,12chip,No,32-bit,32/64-bit,32KBI+32KBDonchippercore,256KBI+Donchippercore,15MBI+Donchipperchip,None,48GB(6x8GB2Rx4PC3-12800R-11ECCrunningat1333MHz),SUSELinuxEnterpriseServer11SP2(x86_64)3.0.13-0.9-default,ext3,C/C++:Version12.1.0.225ofIntelC++StudioXEforLinux,05/01/12,02/01/12,24,367,351,305,258,201,195,287,287,565,565,265,259,524,438,270,258,2092,2092,456,447,230,215,210,210,351,351,20,DellInc.,BullSAS,02/01/12,06/01/12,06/01/12,387
IntelXeonE5-2420,CINT2006rate,BullSAS,NovaScaleR450F3(IntelXeonE5-24201.90GHz),12,2,6,2,IntelXeonE5-2420,1900,IntelTurboBoostTechnologyupto2.40GHz,12chip,No,32-bit,32/64-bit,32KBI+32KBDonchippercore,256KBI+Donchippercore,15MBI+Donchipperchip,None,48GB(6x8GB2Rx4PC3-12800R-11ECCrunningat1333MHz),SUSELinuxEnterpriseServer11SP2(x86_64)3.0.13-0.9-default,ext3,C/C++:Version12.1.0.225ofIntelC++StudioXEforLinux,05/01/12,02/01/12,24,367,352,304,259,202,196,287,287,563,563,264,260,524,437,269,258,2089,2089,457,453,229,215,210,210,351,351,20,DellInc.,BullSAS,03/01/12,06/01/12,06/01/12,387
IntelXeonE5-2420,CINT2006rate,BullSAS,NovaScaleT820F3(IntelXeonE5-24201.90GHz),6,1,6,2,IntelXeonE5-2420,1900,IntelTurboBoostTechnologyupto2.40GHz,1chip,No,32-bit,32/64-bit,32KBI+32KBDonchippercore,256KBI+Donchippercore,15MBI+Donchipperchip,None,48GB(6x8GB2Rx4PC3-12800R-11ECCrunningat1333MHz),SUSELinuxEnterpriseServer11SP2(x86_64)3.0.13-0.27-default,ext3,C/C++:Version12.1.0.225ofIntelC++StudioXEforLinux,06/01/12,02/01/12,12,189,181,155,130,106,102,150,150,289,289,133,130,263,219,135,130,1049,1049,228,228,125,118,108,108,192,192,20,DellInc.,BullSAS,05/01/12,07/01/12,07/01/12,387
IntelXeonE5-2420,CINT2006rate,CiscoSystems,CiscoUCSB22M3(IntelXeonE5-24201.90GHz),12,2,6,2,IntelXeonE5-2420,2400,IntelTurboBoostTechnologyupto2.40GHz,12chip,No,32-bit,32/64-bit,32KBI+32KBDonchippercore,256KBI+Donchippercore,15MBI+Donchipperchip,None,96GB(12x8GB2Rx4PC3-12800R-11ECCrunningat1333MHzandCL9),RedHatEnterpriseLinuxServerrelease6.2(Santiago)2.6.32-220.el6.x86_64,ext4,C/C++:Version12.1.3.293ofIntelC++StudioXEforLinux,08/01/12,02/01/12,24,368,352,305,257,201,196,285,286,565,565,265,259,525,437,278,259,2093,2093,445,443,234,220,210,210,359,359,9019,CiscoSystems,CiscoSystems,08/01/12,09/01/12,09/01/12,387
